71,3.57142857143,0.0,3.33333333333,9,4
72,2.38095238095,0.0,3.33333333333,7,3
103,7.14285714286,2.77777777778,3.33333333333,7,3
105,4.7619047619,2.77777777778,6.66666666667,5,2
116,2.38095238095,0.0,3.33333333333,9,4
142,3.57142857143,0.0,3.33333333333,7,3
599,3.57142857143,2.77777777778,3.33333333333,7,3
836,3.57142857143,0.0,0.0,9,4
857,3.57142857143,0.0,6.66666666667,7,3
858,3.57142857143,0.0,3.33333333333,5,2
1705,3.57142857143,2.77777777778,10.0,5,2
1900,2.38095238095,0.0,3.33333333333,9,4
1903,2.38095238095,0.0,3.33333333333,11,5
1909,7.14285714286,0.0,6.66666666667,5,2
1942,3.57142857143,0.0,3.33333333333,5,2
1943,3.57142857143,2.77777777778,6.66666666667,5,2
1944,3.57142857143,0.0,3.33333333333,5,2
2007,2.38095238095,0.0,0.0,7,3
